"stopDate","driverAge","count"
2009,"15-19",104012
2009,"20-24",213728
2009,"25-29",179261
2009,"30-34",138766
2009,"35-39",122356
2009,"40-44",112965
2009,"45-49",107827
2009,"50-54",88440
2009,"55-59",65048
2009,"60-64",45284
2009,"65+",52177
2009,NA,16268
2010,"15-19",92328
2010,"20-24",203151
2010,"25-29",173784
2010,"30-34",136267
2010,"35-39",118450
2010,"40-44",111438
2010,"45-49",105638
2010,"50-54",87058
2010,"55-59",65920
2010,"60-64",46094
2010,"65+",53164
2010,NA,14487
2011,"15-19",89502
2011,"20-24",213070
2011,"25-29",181785
2011,"30-34",148244
2011,"35-39",120806
2011,"40-44",118029
2011,"45-49",109144
2011,"50-54",91918
2011,"55-59",70404
2011,"60-64",49270
2011,"65+",56916
2011,NA,13336
2012,"15-19",82668
2012,"20-24",202791
2012,"25-29",173224
2012,"30-34",146511
2012,"35-39",117543
2012,"40-44",114788
2012,"45-49",102838
2012,"50-54",91164
2012,"55-59",69774
2012,"60-64",48446
2012,"65+",59312
2012,NA,10920
2013,"15-19",81054
2013,"20-24",203849
2013,"25-29",171319
2013,"30-34",147505
2013,"35-39",116670
2013,"40-44",112093
2013,"45-49",98665
2013,"50-54",90721
2013,"55-59",70128
2013,"60-64",48697
2013,"65+",60268
2013,NA,9367
2014,"15-19",80239
2014,"20-24",196752
2014,"25-29",163893
2014,"30-34",142316
2014,"35-39",113414
2014,"40-44",104599
2014,"45-49",93315
2014,"50-54",87539
2014,"55-59",67735
2014,"60-64",48296
2014,"65+",60546
2014,NA,8709
2015,"15-19",87588
2015,"20-24",206619
2015,"25-29",176570
2015,"30-34",149301
2015,"35-39",122338
2015,"40-44",104259
2015,"45-49",97806
2015,"50-54",88969
2015,"55-59",70870
2015,"60-64",49970
2015,"65+",64475
2015,NA,10023
2016,"15-19",18785
2016,"20-24",44605
2016,"25-29",38420
2016,"30-34",31775
2016,"35-39",26100
2016,"40-44",21099
2016,"45-49",20345
2016,"50-54",17814
2016,"55-59",14607
2016,"60-64",10287
2016,"65+",12810
2016,NA,2351
