"stopDate","violation","count"
2009,"Cell phone",5691
2009,"DUI",20993
2009,"Equipment",62258
2009,"License",21811
2009,"Lights",9390
2009,"Moving violation",11258
2009,"Other",52500
2009,"Other (non-mapped)",65
2009,"Paperwork",176578
2009,"Registration/plates",89128
2009,"Safe movement",248285
2009,"Seat belt",50192
2009,"Speeding",473811
2009,"Stop sign/light",14629
2009,"Truck",9543
2010,"Cell phone",11195
2010,"DUI",20537
2010,"Equipment",58636
2010,"License",21531
2010,"Lights",9435
2010,"Moving violation",12946
2010,"Other",45852
2010,"Other (non-mapped)",39
2010,"Paperwork",172084
2010,"Registration/plates",83648
2010,"Safe movement",245033
2010,"Seat belt",50049
2010,"Speeding",453866
2010,"Stop sign/light",13358
2010,"Truck",9570
2011,"Cell phone",18559
2011,"DUI",21047
2011,"Equipment",61740
2011,"License",23421
2011,"Lights",10242
2011,"Moving violation",15802
2011,"Other",45781
2011,"Other (non-mapped)",22
2011,"Paperwork",179681
2011,"Registration/plates",84959
2011,"Safe movement",260703
2011,"Seat belt",51876
2011,"Speeding",465659
2011,"Stop sign/light",13735
2011,"Truck",9197
2012,"Cell phone",18072
2012,"DUI",19881
2012,"Equipment",59719
2012,"License",21945
2012,"Lights",10031
2012,"Moving violation",14280
2012,"Other",42357
2012,"Other (non-mapped)",35
2012,"Paperwork",170281
2012,"Registration/plates",82748
2012,"Safe movement",251514
2012,"Seat belt",49748
2012,"Speeding",457888
2012,"Stop sign/light",12604
2012,"Truck",8876
2013,"Cell phone",20198
2013,"DUI",17803
2013,"Equipment",56966
2013,"License",22952
2013,"Lights",10723
2013,"Moving violation",14889
2013,"Other",38813
2013,"Other (non-mapped)",34
2013,"Paperwork",172301
2013,"Registration/plates",89082
2013,"Safe movement",241922
2013,"Seat belt",51206
2013,"Speeding",452119
2013,"Stop sign/light",12590
2013,"Truck",8738
2014,"Cell phone",22448
2014,"DUI",16544
2014,"Equipment",51839
2014,"License",20957
2014,"Lights",9932
2014,"Moving violation",15650
2014,"Other",38020
2014,"Other (non-mapped)",48
2014,"Paperwork",168176
2014,"Registration/plates",81666
2014,"Safe movement",230345
2014,"Seat belt",48853
2014,"Speeding",442805
2014,"Stop sign/light",11774
2014,"Truck",8296
2015,"Cell phone",24695
2015,"DUI",16489
2015,"Equipment",51137
2015,"License",23010
2015,"Lights",9137
2015,"Moving violation",19702
2015,"Other",42429
2015,"Other (non-mapped)",179
2015,"Paperwork",176322
2015,"Registration/plates",77684
2015,"Safe movement",228815
2015,"Seat belt",52831
2015,"Speeding",485485
2015,"Stop sign/light",11620
2015,"Truck",9253
2016,"Cell phone",4266
2016,"DUI",3691
2016,"Equipment",10251
2016,"License",5352
2016,"Lights",2173
2016,"Moving violation",5238
2016,"Other",9154
2016,"Other (non-mapped)",213
2016,"Paperwork",37748
2016,"Registration/plates",15689
2016,"Safe movement",50740
2016,"Seat belt",8329
2016,"Speeding",101741
2016,"Stop sign/light",2529
2016,"Truck",1884
